accession	description
"GCA_022604735.1"	"ASM2260473v1 assembly for Bacillus phage vB_BcgM"
"GCA_017654265.1"	"ASM1765426v1 assembly for Escherichia phage MN03"
"GCA_017654275.1"	"ASM1765427v1 assembly for Escherichia phage MN04"
"GCA_017654235.1"	"ASM1765423v1 assembly for Escherichia phage MN01"
"GCA_017654285.1"	"ASM1765428v1 assembly for Escherichia phage MN05"
"GCA_902705595.1"	"21839_KR2730 assembly for Escherichia coli"
"GCA_902705605.1"	"21850_MH10 assembly for Escherichia coli"
"GCA_902705615.1"	"21842_KR2733 assembly for Escherichia coli"
"GCA_902705635.1"	"21867_KR396 assembly for Klebsiella pneumoniae"
"GCA_902705645.1"	"21863_KR315 assembly for Klebsiella oxytoca"
"GCA_902705655.1"	"21875_KR438 assembly for Klebsiella pneumoniae"
"GCA_902705665.1"	"21870_KR399 assembly for Klebsiella pneumoniae"
"GCA_902705705.1"	"21864_KR358 assembly for Klebsiella pneumoniae"
"GCA_902705715.1"	"21869_KR398 assembly for Klebsiella pneumoniae"
"GCA_902705725.1"	"21873_KR432 assembly for Klebsiella pneumoniae"
"GCA_902705745.1"	"21871_KR401 assembly for Klebsiella oxytoca"
"GCA_902705755.1"	"21874_KR437 assembly for Klebsiella pneumoniae"
"GCA_902705765.1"	"21866_KR360 assembly for Klebsiella pneumoniae"
"GCA_902705775.1"	"21868_KR397 assembly for Klebsiella pneumoniae"
"GCA_902705785.1"	"21872_KR431 assembly for Klebsiella pneumoniae"
"GCA_902705795.1"	"21861_KR313 assembly for Klebsiella pneumoniae"
"GCA_902729375.1"	"vB_KpnM_05F assembly for Klebsiella phage vB_KpnM_05F"
"GCA_902728315.1"	"vB_EcoM_UP17 assembly for Escherichia phage vB_EcoM_UP17"
"GCA_902729385.1"	"vB_SsoM_113 assembly for Shigella phage vB_SsoM_113"
"GCA_902731745.1"	"vB_KpnS_2811 assembly for Klebsiella phage vB_KpnS_2811"
"GCA_902713465.1"	"21857_KR309 assembly for Enterobacter cloacae"
"GCA_902713455.1"	"21836_KR2727 assembly for Enterobacter cloacae"
"GCA_902713475.1"	"21841_KR2732 assembly for Enterobacter cloacae"
"GCA_902703255.1"	"21847_MH07 assembly for Escherichia coli"
"GCA_902703265.1"	"21852_MH12 assembly for Escherichia coli"
"GCA_902703275.1"	"21838_KR2729 assembly for Escherichia coli"
"GCA_902703315.1"	"21844_MH02 assembly for Escherichia coli"
"GCA_902703325.1"	"21849_MH09 assembly for Escherichia coli"
"GCA_902703355.1"	"21856_MH16 assembly for Escherichia coli"
"GCA_902703365.1"	"21845_MH03 assembly for Escherichia coli"
"GCA_902703375.1"	"21855_MH15 assembly for Escherichia coli"
"GCA_903995605.1"	"vB_SsoM_JK08 assembly for Shigella phage vB_SsoM_JK08"
"GCA_903995615.1"	"vB_KpnM_311F assembly for Klebsiella phage vB_KpnM_311F"
"GCA_902703225.1"	"21846_MH04 assembly for Escherichia coli"
"GCA_902703235.1"	"21840_KR2731 assembly for Escherichia coli"
"GCA_902703245.1"	"21853_MH13 assembly for Escherichia coli"
"GCA_902703285.1"	"21843_MH01 assembly for Escherichia coli"
"GCA_902703295.1"	"21848_MH08 assembly for Escherichia coli"
"GCA_902703305.1"	"21837_KR2728 assembly for Escherichia coli"
"GCA_902703335.1"	"21854_MH14 assembly for Escherichia coli"
"GCA_902703345.1"	"21851_MH11 assembly for Escherichia coli"
"GCA_902705585.1"	"21859_KR311 assembly for Klebsiella pneumoniae"
"GCA_902705625.1"	"21858_KR310 assembly for Klebsiella pneumoniae"
"GCA_902705675.1"	"21876_MH05 assembly for Klebsiella pneumoniae"
"GCA_902705685.1"	"21860_KR312 assembly for Klebsiella pneumoniae"
"GCA_902705695.1"	"21877_MH06 assembly for Klebsiella pneumoniae"
"GCA_902705735.1"	"21865_KR359 assembly for Klebsiella oxytoca"
"GCA_026626395.1"	"ASM2662639v1 assembly for Bacillus safensis"
"GCA_026626405.1"	"ASM2662640v1 assembly for Bacillus safensis"
"GCA_026626415.1"	"ASM2662641v1 assembly for Bacillus safensis"
"GCA_026626435.1"	"ASM2662643v1 assembly for Escherichia coli"
"GCA_026626485.1"	"ASM2662648v1 assembly for Escherichia coli"
"GCA_026626505.1"	"ASM2662650v1 assembly for Shouchella clausii"
"GCA_026626525.1"	"ASM2662652v1 assembly for Escherichia coli"
"GCA_026626545.1"	"ASM2662654v1 assembly for Escherichia coli"
"GCA_026626315.1"	"ASM2662631v1 assembly for Pasteurella multocida"
"GCA_026626325.1"	"ASM2662632v1 assembly for Escherichia coli"
"GCA_003059745.1"	"ASM305974v1 assembly for Staphylococcus phage vB_SauM_0414_108"
"GCA_036418575.1"	"ASM3641857v1 assembly for Escherichia phage vB_EcoM_ULIM9"
"GCA_003047835.1"	"ASM304783v1 assembly for Yersinia phage phiR8-01"
"GCA_036418545.1"	"ASM3641854v1 assembly for Escherichia phage vB_EcoS_ULIM2"
"GCA_036418555.1"	"ASM3641855v1 assembly for Escherichia phage vB_EcoM_ULIM3"
"GCA_036418565.1"	"ASM3641856v1 assembly for Escherichia phage vB_EcoM_ULIM8"
"GCA_018388945.1"	"ASM1838894v1 assembly for Escherichia phage UAE_MI-01"
"GCA_001042055.1"	"ViralProj287951 assembly for Yersinia phage phiD1"
"GCA_000904795.1"	"ViralProj184143 assembly for Yersinia phage phiR1-RT"
"GCA_002609465.1"	"ASM260946v1 assembly for Bacillus phage Crookii"
"GCA_026622975.1"	"ASM2662297v1 assembly for Salmonella phage UAB_1"
"GCA_026622985.1"	"ASM2662298v1 assembly for Salmonella phage UAB_60"
"GCA_026622995.1"	"ASM2662299v1 assembly for Salmonella phage UAB_69"
"GCA_020489615.1"	"ASM2048961v1 assembly for Pseudomonas phage Kaya"
"GCA_020489625.1"	"ASM2048962v1 assembly for Pseudomonas phage Guyu"
"GCA_020490345.1"	"ASM2049034v1 assembly for Klebsiella phage Geezett"
"GCA_020620325.1"	"ASM2062032v1 assembly for Pseudomonas phage Kopi"
"GCA_020620335.1"	"ASM2062033v1 assembly for Pseudomonas phage TehO"
"GCA_033966235.1"	"ASM3396623v1 assembly for Sinorhizobium phage StopSmel"
"GCA_033966265.1"	"ASM3396626v1 assembly for Sinorhizobium phage Aussie"
"GCA_020523065.1"	"ASM2052306v1 assembly for Escherichia phage Lindwurm"
"GCA_019466085.1"	"ASM1946608v1 assembly for Acinetobacter phage Phab24"
"GCA_013089535.1"	"ASM1308953v1 assembly for uncultured human fecal virus"
"GCA_013089545.1"	"ASM1308954v1 assembly for uncultured human fecal virus"
"GCA_013089575.1"	"ASM1308957v1 assembly for uncultured human fecal virus"
"GCA_013089585.1"	"ASM1308958v1 assembly for uncultured human fecal virus"
"GCA_013089625.1"	"ASM1308962v1 assembly for uncultured human fecal virus"
"GCA_013089645.1"	"ASM1308964v1 assembly for uncultured human fecal virus"
"GCA_013096315.1"	"ASM1309631v1 assembly for uncultured human fecal virus"
"GCA_008669035.1"	"ASM866903v1 assembly for Mediterraneibacter faecis"
"GCA_008669045.1"	"ASM866904v1 assembly for Varibaculum sp."
"GCA_008669055.1"	"ASM866905v1 assembly for Subdoligranulum sp."
"GCA_008669105.1"	"ASM866910v1 assembly for Ruthenibacterium lactatiformans"
"GCA_008669135.1"	"ASM866913v1 assembly for Bifidobacterium bifidum"
"GCA_008669145.1"	"ASM866914v1 assembly for Collinsella aerofaciens"
"GCA_008669155.1"	"ASM866915v1 assembly for Eggerthella lenta"
"GCA_008669195.1"	"ASM866919v1 assembly for Bifidobacterium longum"
"GCA_008669205.1"	"ASM866920v1 assembly for Mediterraneibacter faecis"
"GCA_008669235.1"	"ASM866923v1 assembly for Fusicatenibacter saccharivorans"
"GCA_008670845.1"	"ASM867084v1 assembly for Blautia wexlerae"
"GCA_008670915.1"	"ASM867091v1 assembly for Subdoligranulum sp."
"GCA_008670945.1"	"ASM867094v1 assembly for Mediterraneibacter faecis"
"GCA_008671055.1"	"ASM867105v1 assembly for Subdoligranulum sp."
"GCA_008671105.1"	"ASM867110v1 assembly for Fusicatenibacter saccharivorans"
"GCA_008671165.1"	"ASM867116v1 assembly for Blautia wexlerae"
"GCA_008671205.1"	"ASM867120v1 assembly for Clostridia bacterium"
"GCA_008671235.1"	"ASM867123v1 assembly for Subdoligranulum sp."
"GCA_008671255.1"	"ASM867125v1 assembly for Blautia wexlerae"
"GCA_008671275.1"	"ASM867127v1 assembly for Ruminococcus sp."
"GCA_008671285.1"	"ASM867128v1 assembly for Collinsella aerofaciens"
"GCA_008671315.1"	"ASM867131v1 assembly for Dorea longicatena"
"GCA_008671335.1"	"ASM867133v1 assembly for Bifidobacterium sp."
"GCA_008671355.1"	"ASM867135v1 assembly for Blautia sp."
"GCA_008671405.1"	"ASM867140v1 assembly for Ruminococcus sp."
"GCA_008671455.1"	"ASM867145v1 assembly for Eggerthellaceae bacterium"
"GCA_008671475.1"	"ASM867147v1 assembly for Bifidobacterium sp."
"GCA_008671485.1"	"ASM867148v1 assembly for Fusicatenibacter saccharivorans"
"GCA_008671585.1"	"ASM867158v1 assembly for Ruminococcus sp."
"GCA_008671595.1"	"ASM867159v1 assembly for Clostridia bacterium"
"GCA_008671615.1"	"ASM867161v1 assembly for Blautia sp."
"GCA_008671645.1"	"ASM867164v1 assembly for Faecalibacterium sp."
"GCA_008671675.1"	"ASM867167v1 assembly for Bifidobacterium longum"
"GCA_008671815.1"	"ASM867181v1 assembly for Agathobacter rectalis"
"GCA_008671825.1"	"ASM867182v1 assembly for Collinsella sp."
"GCA_008671835.1"	"ASM867183v1 assembly for Akkermansia muciniphila"
"GCA_008671865.1"	"ASM867186v1 assembly for Fusicatenibacter saccharivorans"
"GCA_008671895.1"	"ASM867189v1 assembly for Faecalibacterium sp."
"GCA_008671905.1"	"ASM867190v1 assembly for Bifidobacterium longum"
"GCA_008671965.1"	"ASM867196v1 assembly for [Eubacterium] siraeum"
"GCA_008671995.1"	"ASM867199v1 assembly for Bifidobacterium sp."
"GCA_008672015.1"	"ASM867201v1 assembly for Alistipes putredinis"
"GCA_008672075.1"	"ASM867207v1 assembly for Collinsella sp."
"GCA_008672095.1"	"ASM867209v1 assembly for Agathobacter rectalis"
"GCA_008672115.1"	"ASM867211v1 assembly for Faecalibacterium sp."
"GCA_008672125.1"	"ASM867212v1 assembly for Fusicatenibacter saccharivorans"
"GCA_008667365.1"	"ASM866736v1 assembly for Clostridia bacterium"
"GCA_013089555.1"	"ASM1308955v1 assembly for uncultured human fecal virus"
"GCA_013089565.1"	"ASM1308956v1 assembly for uncultured human fecal virus"
"GCA_013089595.1"	"ASM1308959v1 assembly for uncultured human fecal virus"
"GCA_013089665.1"	"ASM1308966v1 assembly for uncultured human fecal virus"
"GCA_013088715.1"	"ASM1308871v1 assembly for uncultured human fecal virus"
"GCA_013089205.1"	"ASM1308920v1 assembly for uncultured human fecal virus"
"GCA_013089295.1"	"ASM1308929v1 assembly for uncultured human fecal virus"
"GCA_013089355.1"	"ASM1308935v1 assembly for uncultured human fecal virus"
"GCA_013089395.1"	"ASM1308939v1 assembly for uncultured human fecal virus"
"GCA_013089605.1"	"ASM1308960v1 assembly for uncultured human fecal virus"
"GCA_013089635.1"	"ASM1308963v1 assembly for uncultured human fecal virus"
"GCA_013089705.1"	"ASM1308970v1 assembly for uncultured human fecal virus"
"GCA_013089715.1"	"ASM1308971v1 assembly for uncultured human fecal virus"
"GCA_013089785.1"	"ASM1308978v1 assembly for uncultured human fecal virus"
"GCA_008661865.1"	"ASM866186v1 assembly for Collinsella sp."
"GCA_008661885.1"	"ASM866188v1 assembly for Anaerostipes hadrus"
"GCA_008661945.1"	"ASM866194v1 assembly for Fusicatenibacter saccharivorans"
"GCA_008661975.1"	"ASM866197v1 assembly for Bifidobacterium sp."
"GCA_008662065.1"	"ASM866206v1 assembly for Eggerthellaceae bacterium"
